State,Campaigns,Country,Status,Type,Targeting,Retailer,Portfolio,Campaign bidding strategy,Start date,End date,Avg. time in budget,Budget (converted),Budget,Cost type,Impressions,Top-of-search impression share,Top-of-search bid adjustment,Clicks,CTR,Spend (converted),Spend,CPC (converted),CPC,Detail page views,Orders,Sales (converted),Sales,ACOS,ROAS,NTB orders,% of orders NTB,NTB sales (converted),NTB sales,% of sales NTB,Long-term sales (converted),Long-term sales,Long-term ROAS,Cumulative reach,Household reach,Viewable impressions,CPM (converted),CPM,VCPM (converted),VCPM,Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR
PAUSED,SP | B12 | mb8611 Targeting,United States,CAMPAIGN_PAUSED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),05/20/2025,,100,$40.00,$40.00,CPC,6290,41.11%,0,122,0.0194,$472.01,$472.01,$3.87,$3.87,0,16,"$2,870.84","$2,870.84",0.1644,6.08215927628652,0,0,$0.00,$0.00,0,$0.00,"$2,868.78",0,,,0,$75.04,$75.04,$0.00,$0.00,0,0,0,0,0,0,0.0194
PAUSED,SP | B12 | Kw Targeting 2,United States,CAMPAIGN_PAUSED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),05/05/2025,,27.978093512309414,$85.00,$85.00,CPC,42473,<5%,0,136,0.0032,$663.08,$663.08,$4.88,$4.88,0,5,$927.07,$927.07,0.7152,1.3981269228449058,0,0,$0.00,$0.00,0,$0.00,$947.23,0,,,0,$15.61,$15.61,$0.00,$0.00,0,0,0,0,0,0,0.0032
PAUSED,SP | B12 | Asin Target,United States,CAMPAIGN_PAUSED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),05/05/2025,,45.48071138272962,$65.00,$65.00,CPC,47796,<5%,0,98,0.0021,$475.23,$475.23,$4.85,$4.85,0,4,$734.24,$734.24,0.6472,1.5450203059571155,0,0,$0.00,$0.00,0,$0.00,$748.82,0,,,0,$9.94,$9.94,$0.00,$0.00,0,0,0,0,0,0,0.0021
PAUSED,SP | MG7700 | Category Target,United States,CAMPAIGN_PAUSED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),04/22/2025,,71.70013505004928,$300.00,$300.00,CPC,2119982,<5%,0,13954,0.0066,"$32,413.07","$32,413.07",$2.32,$2.32,0,491,"$89,242.40","$89,242.40",0.3632,2.753284400397743,0,0,$0.00,$0.00,0,$0.00,"$91,343.02",0,,,0,$15.29,$15.29,$0.00,$0.00,0,0,0,0,0,0,0.0066
PAUSED,SP | B12 | Auto Test,United States,CAMPAIGN_PAUSED,SP,AUTOMATIC,Amazon,,Dynamic bidding (up and down),04/15/2025,,99.86518088406115,$35.00,$35.00,CPC,934739,<5%,0,2188,0.0023,"$1,569.25","$1,569.25",$0.72,$0.72,0,42,"$7,547.26","$7,547.26",0.2079,4.809469491795439,0,0,$0.00,$0.00,0,$0.00,"$7,733.14",0,,,0,$1.68,$1.68,$0.00,$0.00,0,0,0,0,0,0,0.0023
PAUSED,SP | B12 | Kw Targeting Test,United States,CAMPAIGN_PAUSED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),04/15/2025,,66.13874578554751,$100.00,$100.00,CPC,401738,<5%,0,1011,0.0025,"$2,764.16","$2,764.16",$2.73,$2.73,0,39,"$7,016.27","$7,016.27",0.3940,2.5383009666589493,0,0,$0.00,$0.00,0,$0.00,"$7,399.60",0,,,0,$6.88,$6.88,$0.00,$0.00,0,0,0,0,0,0,0.0025
PAUSED,SP | B12 | Category Target,United States,CAMPAIGN_PAUSED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),04/02/2025,,100,$50.00,$50.00,CPC,153725,<5%,0,407,0.0026,$654.15,$654.15,$1.61,$1.61,0,28,"$5,329.71","$5,329.71",0.1227,8.147534969043793,0,0,$0.00,$0.00,0,$0.00,"$5,343.38",0,,,0,$4.26,$4.26,$0.00,$0.00,0,0,0,0,0,0,0.0026
PAUSED,SP | B12 | Kw Target,United States,CAMPAIGN_PAUSED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),04/02/2025,,72.64849396272082,$325.00,$325.00,CPC,3334838,<5%,0,11472,0.0034,"$34,727.36","$34,727.36",$3.03,$3.03,0,595,"$104,880.07","$104,880.07",0.3311,3.0200991379707527,0,0,$0.00,$0.00,0,$0.00,"$108,142.36",0,,,0,$10.41,$10.41,$0.00,$0.00,0,0,0,0,0,0,0.0034
PAUSED,Excess Inventory - B0BT6N46DH - 2/18/2025 12:00:58,United States,CAMPAIGN_PAUSED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),02/18/2025,,29.304508215039338,$100.00,$100.00,CPC,496983,<5%,0,1923,0.0039,"$8,251.40","$8,251.40",$4.29,$4.29,0,80,"$14,374.25","$14,374.25",0.5740,1.7420377148120298,0,0,$0.00,$0.00,0,$0.00,"$14,718.51",0,,,0,$16.60,$16.60,$0.00,$0.00,0,0,0,0,0,0,0.0039
PAUSED,SP | B12 | Kw Targeting,United States,CAMPAIGN_PAUSED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),10/29/2024,,97.15437495077879,$20.00,$20.00,CPC,2572087,<5%,0,8760,0.0034,"$14,518.22","$14,518.22",$1.66,$1.66,0,372,"$67,176.55","$67,176.55",0.2161,4.627051387842314,0,0,$0.00,$0.00,0,$0.00,"$68,908.69",0,,,0,$5.64,$5.64,$0.00,$0.00,0,0,0,0,0,0,0.0034
